"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Thu Feb 01 08:04:03 GMT 2024","Thu Feb 01 08:04:04 GMT 2024","199","","template spec","","","","passes",""
"failed","Thu Feb 01 08:04:17 GMT 2024","Thu Feb 01 08:04:17 GMT 2024","233","","template spec","","","","passesss",""
"passed","Thu Feb 01 08:04:08 GMT 2024","Thu Feb 01 08:04:09 GMT 2024","542","","template spec","","","","spec4",""
"passed","Thu Feb 01 08:04:22 GMT 2024","Thu Feb 01 08:04:22 GMT 2024","630","","template spec","","","","spec5",""
"passed","Thu Feb 01 08:04:27 GMT 2024","Thu Feb 01 08:04:28 GMT 2024","299","","template spec","","","","passessdfdsf",""
