"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","287","spec4","","Mon Jun 23 09:34:18 GMT 2025","passed","Mon Jun 23 09:34:18 GMT 2025","","template spec","",""
"","675","passes","","Mon Jun 23 09:33:58 GMT 2025","passed","Mon Jun 23 09:33:59 GMT 2025","","template spec","",""
"","274","spec5","","Mon Jun 23 09:34:22 GMT 2025","passed","Mon Jun 23 09:34:22 GMT 2025","","template spec","",""
"","5842","passesss","","Mon Jun 23 09:34:03 GMT 2025","failed","Mon Jun 23 09:34:09 GMT 2025","","template spec","",""
"","328","passessdfdsf","","Mon Jun 23 09:34:14 GMT 2025","passed","Mon Jun 23 09:34:14 GMT 2025","","template spec","",""
