"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Thu Feb 01 07:53:54 GMT 2024","Thu Feb 01 07:53:54 GMT 2024","173","","template spec","","","","passes",""
"passed","Thu Feb 01 07:53:58 GMT 2024","Thu Feb 01 07:53:59 GMT 2024","269","","template spec","","","","spec4",""
"failed","Thu Feb 01 07:53:52 GMT 2024","Thu Feb 01 07:53:52 GMT 2024","213","","template spec","","","","passesss",""
"passed","Thu Feb 01 07:54:10 GMT 2024","Thu Feb 01 07:54:10 GMT 2024","289","","template spec","","","","passessdfdsf",""
"passed","Thu Feb 01 07:53:57 GMT 2024","Thu Feb 01 07:53:57 GMT 2024","330","","template spec","","","","spec5",""
