"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Feb 01 07:59:24 GMT 2024","Thu Feb 01 07:59:25 GMT 2024","315","","template spec","","","","spec5",""
"passed","Thu Feb 01 07:59:43 GMT 2024","Thu Feb 01 07:59:43 GMT 2024","308","","template spec","","","","spec4",""
"passed","Thu Feb 01 07:59:19 GMT 2024","Thu Feb 01 07:59:19 GMT 2024","275","","template spec","","","","passessdfdsf",""
"failed","Thu Feb 01 07:59:37 GMT 2024","Thu Feb 01 07:59:38 GMT 2024","231","","template spec","","","","passes",""
"failed","Thu Feb 01 07:59:20 GMT 2024","Thu Feb 01 07:59:20 GMT 2024","214","","template spec","","","","passesss",""
