"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","278","spec5","","Wed Jul 02 05:10:20 GMT 2025","passed","Wed Jul 02 05:10:20 GMT 2025","","template spec","",""
"","287","passessdfdsf","","Wed Jul 02 05:10:16 GMT 2025","passed","Wed Jul 02 05:10:16 GMT 2025","","template spec","",""
"","388","passes","","Wed Jul 02 05:10:11 GMT 2025","passed","Wed Jul 02 05:10:12 GMT 2025","","template spec","",""
