"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Jan 31 11:34:58 GMT 2024","Wed Jan 31 11:34:58 GMT 2024","292","","template spec","","","","spec5",""
"failed","Wed Jan 31 11:34:46 GMT 2024","Wed Jan 31 11:34:52 GMT 2024","6164","","template spec","","","","passesss",""
"passed","Wed Jan 31 11:34:56 GMT 2024","Wed Jan 31 11:34:57 GMT 2024","263","","template spec","","","","spec4",""
"passed","Wed Jan 31 11:34:24 GMT 2024","Wed Jan 31 11:34:25 GMT 2024","329","","template spec","","","","passessdfdsf",""
"passed","Wed Jan 31 11:34:52 GMT 2024","Wed Jan 31 11:34:52 GMT 2024","338","","template spec","","","","passes",""
