"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Jan 31 10:02:50 GMT 2024","Wed Jan 31 10:02:50 GMT 2024","305","","template spec","","","","passessdfdsf",""
"passed","Wed Jan 31 10:02:26 GMT 2024","Wed Jan 31 10:02:27 GMT 2024","1871","","template spec","","","","passesss",""
"passed","Wed Jan 31 10:02:24 GMT 2024","Wed Jan 31 10:02:25 GMT 2024","321","","template spec","","","","passes",""
