"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Feb 01 07:43:08 GMT 2024","Thu Feb 01 07:43:08 GMT 2024","308","","template spec","","","","passes",""
"failed","Thu Feb 01 07:43:43 GMT 2024","Thu Feb 01 07:43:49 GMT 2024","6107","","template spec","","","","passesss",""
"passed","Thu Feb 01 07:43:55 GMT 2024","Thu Feb 01 07:43:55 GMT 2024","270","","template spec","","","","spec5",""
"passed","Thu Feb 01 07:43:32 GMT 2024","Thu Feb 01 07:43:33 GMT 2024","370","","template spec","","","","passessdfdsf",""
"passed","Thu Feb 01 07:43:12 GMT 2024","Thu Feb 01 07:43:12 GMT 2024","324","","template spec","","","","spec4",""
