"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Feb 01 07:48:53 GMT 2024","Thu Feb 01 07:48:53 GMT 2024","254","","template spec","","","","spec4",""
"passed","Thu Feb 01 07:48:56 GMT 2024","Thu Feb 01 07:48:56 GMT 2024","299","","template spec","","","","spec5",""
"passed","Thu Feb 01 07:48:49 GMT 2024","Thu Feb 01 07:48:49 GMT 2024","286","","template spec","","","","passes",""
"passed","Thu Feb 01 07:48:53 GMT 2024","Thu Feb 01 07:48:54 GMT 2024","294","","template spec","","","","passessdfdsf",""
"failed","Thu Feb 01 07:48:44 GMT 2024","Thu Feb 01 07:48:50 GMT 2024","6069","","template spec","","","","passesss",""
