"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","330","spec5","","Mon Jun 23 09:29:03 GMT 2025","passed","Mon Jun 23 09:29:04 GMT 2025","","template spec","",""
"","361","passes","","Mon Jun 23 09:28:41 GMT 2025","passed","Mon Jun 23 09:28:41 GMT 2025","","template spec","",""
"","309","spec4","","Mon Jun 23 09:28:59 GMT 2025","passed","Mon Jun 23 09:29:00 GMT 2025","","template spec","",""
"","5158","passesss","","Mon Jun 23 09:28:45 GMT 2025","failed","Mon Jun 23 09:28:50 GMT 2025","","template spec","",""
"","294","passessdfdsf","","Mon Jun 23 09:28:55 GMT 2025","passed","Mon Jun 23 09:28:56 GMT 2025","","template spec","",""
