"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","842","passes","","Mon Jul 07 09:51:21 GMT 2025","passed","Mon Jul 07 09:51:22 GMT 2025","","template spec","",""
"","301","spec5","","Mon Jul 07 09:51:30 GMT 2025","passed","Mon Jul 07 09:51:30 GMT 2025","","template spec","",""
"","324","passessdfdsf","","Mon Jul 07 09:51:26 GMT 2025","passed","Mon Jul 07 09:51:26 GMT 2025","","template spec","",""
