"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Jan 31 09:20:38 GMT 2024","Wed Jan 31 09:20:38 GMT 2024","316","","template spec","","","","passes",""
"passed","Wed Jan 31 09:20:37 GMT 2024","Wed Jan 31 09:20:38 GMT 2024","1369","","template spec","","","","passesss",""
