"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Jan 31 10:11:27 GMT 2024","Wed Jan 31 10:11:27 GMT 2024","370","","template spec","","","","passes",""
"passed","Wed Jan 31 10:11:30 GMT 2024","Wed Jan 31 10:11:30 GMT 2024","263","","template spec","","","","spec4",""
"passed","Wed Jan 31 10:11:38 GMT 2024","Wed Jan 31 10:11:40 GMT 2024","1666","","template spec","","","","passesss",""
"passed","Wed Jan 31 10:11:10 GMT 2024","Wed Jan 31 10:11:11 GMT 2024","338","","template spec","","","","passessdfdsf",""
